Year,Squad,Age,SweeperAvgDist,Per90MinutesnpxG,StandardSoT/90,ShortCmp%,MediumCmp%,LongCmp%,PassTypesTB,PassTypesSw,SCA90,Tkl+Int,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd
2019,ru vs Zenit,25.1,18.2,1.31,6,91.4,84.3,61.3,6,33,31.17,144,1071,2085,1520
2020,nl Ajax,24.7,15.9,1.21,4.67,85.9,83.7,52.2,3,15,20.5,182,1457,1741,922
2020,it Atalanta,27.5,15.8,1.46,5.12,87,83.5,56.3,10,46,18.87,279,1562,2245,1239
2020,es Atlético Madrid,27,14.3,1.14,3.87,87,82.9,55.8,7,37,20.87,217,1398,2284,1404
2020,es Barcelona,26,17.4,1.92,6.87,94.5,91.9,69.8,12,29,33.25,197,1271,3304,2403
2020,tr Başakşehir,29.5,15.5,0.87,3.67,87.6,83.8,52.1,2,18,17.67,150,1192,1515,800
2020,de Bayern Munich,27,20.9,1.94,5.7,89.6,89.1,69,8,64,29.3,283,2014,3451,2054
2020,eng Chelsea,26.2,12.9,1.64,4,91.5,87.5,54.4,12,38,20.23,345,2640,4241,2085
2020,be Club Brugge,25.8,23,1.15,2.67,88,87.1,60.2,1,52,15.5,157,1140,1706,1083
2020,de Dortmund,25.8,9.2,1.28,4.9,90.4,90.2,65.1,12,49,21.3,260,2112,3099,1884
2020,ua Dynamo Kyiv,24.4,8.1,0.94,3.5,88.7,86.8,61.1,3,24,11.17,189,1449,1542,622
2020,hu Ferencváros,27.8,15.1,0.8,2.33,88.3,88.5,63.3,5,27,15.83,179,1516,1633,594
2020,it Inter,28.3,20.5,1.39,3.33,88.2,90,65.8,5,28,23.5,160,1087,1931,924
2020,it Juventus,27.6,17.2,1.71,5.76,90.6,90.5,66.2,6,53,25.68,257,1413,3230,1463
2020,ru Krasnodar,27.8,8.4,0.93,2.83,85.7,79.7,45.7,4,15,19.67,154,1079,1369,694
2020,it Lazio,29,10.8,1.34,4.37,89.4,87,64.1,12,38,20.87,241,1789,2163,991
2020,eng Liverpool,26,19.1,1.4,4.3,89,85.7,54.7,8,54,18.2,252,1982,3483,1607
2020,ru Loko Moscow,28.5,12.6,0.55,2.5,82.2,80.2,55.3,5,21,12.33,189,1367,1258,498
2020,de M'Gladbach,27,12.6,1.25,3.87,90.7,87.5,56,10,33,16.88,232,1954,2099,754
2020,eng Manchester City,26.1,19.3,1.61,5.46,93.1,91.6,69,10,56,22.46,305,1913,5962,2764
2020,eng Manchester Utd,25.7,14.5,1.38,5.33,89.1,85.8,58.6,6,26,25.33,151,989,1887,1017
2020,fr Marseille,27.5,16.2,0.59,1.83,89.8,87.7,49.4,0,24,14.17,175,1357,1773,643
2020,dk Midtjylland,25.5,15.3,0.91,3.5,80.6,78.7,51.7,5,14,17,204,1176,1341,716
2020,gr Olympiacos,28.7,9.4,0.69,1.67,88.9,85.6,56.2,1,32,12.17,171,1338,1804,614
2020,fr Paris S-G,27.3,12.5,1.52,3.92,92.1,87.7,54.5,17,36,20.58,342,2838,3474,1457
2020,pt Porto,27,13.8,0.91,3.39,86.7,83.7,47.8,3,33,12.97,256,2090,2127,1075
2020,de RB Leipzig,24.8,18.6,1.22,3.75,87.5,83.5,55,3,33,23,273,1668,2593,1183
2020,at RB Salzburg,24.9,13.4,1.87,6.5,82.5,81.2,48.5,9,12,27.83,214,1075,1740,948
2020,es Real Madrid,27.9,18.2,1.47,5.08,92.9,90.6,68.7,9,130,23.5,349,2526,4695,2321
2020,fr Rennes,25.7,20.3,1,4.17,88.8,85.7,58.5,0,32,22.17,139,1183,1766,844
2020,es Sevilla,27.9,17.7,1.42,6.12,91.2,89.2,64.3,3,92,28.13,185,1495,2857,1534
2020,ua Shakhtar,24.7,10.6,0.78,2.83,90.9,90.9,57.1,4,28,12.33,144,1513,1695,520
2020,ru Zenit,27.8,10.6,0.93,2.33,86.5,86,59.6,2,27,17.33,188,1238,1582,896
2020,nl vs Ajax,26.6,13.5,1.21,4.5,81.9,79.3,57.5,7,21,19.67,217,1168,1536,754
2020,it vs Atalanta,26,16.9,1.11,4.5,89.9,87.4,54.5,6,24,19.75,257,1706,2683,1313
2020,es vs Atlético Madrid,26.7,13.3,1.09,2.75,87.7,85.2,58.4,4,26,19.5,211,1630,2499,1240
2020,es vs Barcelona,26.8,10.5,1.22,3.12,90.5,88.2,61.1,12,31,15.87,310,1859,2056,760
2020,tr vs Başakşehir,26,14.6,1.77,5.67,90.3,86.7,64.5,7,26,29.33,158,1164,2206,1080
2020,de vs Bayern Munich,27.4,13.4,1.4,4.8,87.2,83.3,53.5,11,31,19,293,2225,2197,1122
2020,eng vs Chelsea,27.4,15.9,0.69,2.77,89.2,86.8,58.6,2,83,16.92,324,2561,3889,1872
2020,be vs Club Brugge,27.1,8.9,1.42,4.5,88.9,88.5,59.7,9,24,21.83,169,1353,1742,868
2020,de vs Dortmund,27.2,17.3,1.13,3.7,91.2,88.5,64.2,5,61,20.4,279,1962,3225,1808
2020,ua vs Dynamo Kyiv,26.8,13.6,1.99,6.33,91.4,90.9,65.7,4,34,25.83,150,995,2377,1265
2020,hu vs Ferencváros,26.2,13.7,1.74,5.5,92,88.9,66.9,7,20,24.33,176,1103,2367,1168
2020,it vs Inter,26.5,16.1,0.83,3.5,90.5,91.3,58.1,3,51,16.17,151,1339,1925,772
2020,it vs Juventus,26.7,13.4,0.98,3.96,91.3,88.7,58.3,2,39,17.64,227,1951,2096,1197
2020,ru vs Krasnodar,26.4,15.8,1.46,6.67,90.4,88.5,63.5,0,49,32.67,137,1157,2333,1222
2020,it vs Lazio,27,19.5,1.25,4.12,90.8,89.8,69.1,4,57,19.37,221,1563,2805,1523
2020,eng vs Liverpool,26,15.1,1.31,3.7,88.7,82.6,54.4,11,71,18.2,321,2275,2935,1393
2020,ru vs Loko Moscow,26.3,18.8,1.84,5.83,87.9,85.2,58.9,10,33,30.83,163,830,2057,1517
2020,de vs M'Gladbach,27.2,20.1,1.73,4.37,93,92.5,71,5,62,24.12,191,1658,3412,1340
2020,eng vs Manchester City,26.8,11.4,0.55,1.85,91.3,88.8,51.5,10,48,10.69,361,3601,2988,1017
2020,eng vs Manchester Utd,27.4,16,1.4,4,89.8,84.5,55.4,3,30,19.67,163,1300,1679,808
2020,fr vs Marseille,27.1,12,1.43,3.83,89.5,88.6,60.6,4,29,15.17,145,1015,2079,787
2020,dk vs Midtjylland,25.8,15.8,1.75,5.83,86.4,85.2,53.7,4,25,20.5,153,1340,1918,921
2020,gr vs Olympiacos,26.5,13.6,1.2,5.17,89.4,86.6,52.6,3,14,22.83,152,1058,1989,970
2020,fr vs Paris S-G,26.6,18.6,1.3,5.42,91,87.9,60.3,9,65,27.17,359,1910,3721,2456
2020,pt vs Porto,27,17.1,1.31,3.68,90.3,88.2,58.6,6,40,21.19,250,1869,3716,1666
2020,de vs RB Leipzig,27.2,17.3,1.21,4.12,86.7,84.5,49.1,5,28,17.87,229,1645,2398,1009
2020,at vs RB Salzburg,27.9,16.6,1.28,5,83.7,84.2,57.3,6,30,20.83,193,1314,1782,840
2020,es vs Real Madrid,26.6,17.5,1.3,3.25,90.2,86.5,58.2,12,50,16.08,343,2588,3199,1626
2020,fr vs Rennes,27.1,10.6,1.8,4.5,90.6,87.4,52.6,5,31,21.33,144,1144,1913,801
2020,es vs Sevilla,26.2,10.6,0.99,3.75,86.7,83.3,50.3,9,12,18.12,235,1532,1858,916
2020,ua vs Shakhtar,27.3,18.1,1.7,6,90.9,88.3,66.7,10,29,27.67,174,817,2207,1180
2020,ru vs Zenit,27.1,11.3,1.49,4.17,88.7,87.1,67.1,2,42,22.17,163,1189,1803,1342
2021,nl Ajax,26,18.4,2.27,6,89.7,89.8,65.8,18,29,29.62,208,1413,2600,1843
2021,it Atalanta,28.2,17.9,1.7,5.17,88,84.6,62.1,6,49,25.33,189,1142,1646,1137
2021,es Atlético Madrid,27.9,13.2,1.14,2.5,87.3,81.9,47.3,15,76,15.4,286,1717,2207,1092
2021,es Barcelona,25.9,14.8,1.08,1.83,90.9,90.5,65.2,4,26,19.33,164,1036,2168,1140
2021,de Bayern Munich,26.9,22.1,2.33,6.6,90.5,89.8,69.7,18,46,34.2,284,2009,3459,2308
2021,pt Benfica,27.7,13.6,1.1,3.4,84.9,86.2,55.5,10,30,15.9,263,2013,2190,1059
2021,tr Beşiktaş,28,22.8,0.9,1.83,87.9,83,55,13,24,14.33,207,1210,1647,581
2021,eng Chelsea,27.4,20.5,1.68,5.23,93.2,89.6,60.5,11,25,28.84,252,1665,3731,2560
2021,be Club Brugge,26.2,16.5,1.02,4.33,83.5,78,54.8,9,24,17.67,200,1183,1180,829
2021,de Dortmund,26.2,15.8,1.65,4.5,88.1,87.8,60.8,7,20,25.67,169,1092,1933,1040
2021,ua Dynamo Kyiv,25.5,7.7,0.71,2.83,89.1,85.8,56.2,6,20,14,178,1411,1293,715
2021,it Inter,29,12.2,1.59,4.75,88.9,88.9,66,12,41,28,219,1670,2147,1254
2021,it Juventus,27.3,13.1,1.46,4.25,89.1,91.2,66,18,44,23.25,234,1566,2628,1211
2021,fr Lille,26.4,9.4,1.11,2.5,85.4,83.4,56.4,5,45,18.62,206,1404,2209,1005
2021,eng Liverpool,27.3,18.2,1.98,6.08,90.7,89,63.7,25,68,30,354,2450,5012,2772
2021,se Malmö,28.4,12.7,0.27,1.17,86.9,82.6,53.3,6,21,10.33,133,1201,1369,441
2021,eng Manchester City,27.2,18.6,2.03,5.27,92.2,91.3,68.9,28,70,28.22,325,2049,4437,2720
2021,eng Manchester Utd,27.2,20.5,1.18,5,89.4,87.9,63.9,12,54,18.75,216,1556,2571,1222
2021,it Milan,26,12.8,0.96,2.67,86.2,84.7,54.9,13,39,13.33,181,1288,1478,648
2021,fr Paris S-G,27.3,13.9,1.5,4.37,92.7,91.4,67.3,21,21,20.62,181,1998,2661,1183
2021,pt Porto,26.3,19.6,1.21,2.83,86.8,83,53.7,8,26,17.33,161,1106,1349,813
2021,de RB Leipzig,25,17.3,1.85,5.17,89.1,84,50.9,11,12,26,170,1173,1495,940
2021,at RB Salzburg,22.9,17.3,1.05,4.25,84.1,80.9,49.5,9,22,17.12,271,1457,1857,1068
2021,es Real Madrid,28,16,1.41,4.83,92.8,90.3,63.9,26,85,23.93,368,3127,3737,2521
2021,es Sevilla,28.9,13.4,0.94,3.33,87.1,87.4,64.3,6,72,20.17,137,1404,1741,1013
2021,ua Shakhtar,25.2,13,1.14,3.33,93.3,91.5,68,18,8,24,119,1191,2165,1078
2021,md Sheriff Tiraspol,26,7.5,0.73,3.5,86.9,81.4,51.3,3,12,14.67,173,1279,869,467
2021,pt Sporting CP,26.7,10.7,1.22,3.75,87.1,85.8,54.5,14,28,17,249,1690,1905,676
2021,es Villarreal,28,15.4,1.5,3.67,88.3,84.8,52.4,22,30,16.33,310,2523,2569,1516
2021,de Wolfsburg,26.1,15.6,0.81,1.83,80.9,83,56,3,18,11.5,171,1303,1371,567
2021,ch Young Boys,25.5,10.9,1.23,4.17,86.9,87.7,58.7,6,20,21.5,202,1295,1553,806
2021,ru Zenit,27.9,10.4,1.38,4.17,89.8,87.7,62,8,33,23.83,139,1149,1587,881
2021,nl vs Ajax,26.6,13.5,1.06,2.5,84.6,83.6,53.2,14,24,17.25,243,1722,1622,739
2021,it vs Atalanta,26.9,14.1,1.52,5.67,86.8,84.5,53,10,29,20.17,212,1330,1504,830
2021,es vs Atlético Madrid,27.2,19.3,1.17,3.4,91.5,88.9,62.9,13,65,19.7,240,1775,3422,1784
2021,es vs Barcelona,26.7,10,1.46,4,88.8,88.2,62.5,8,21,17.17,194,1386,1413,651
2021,de vs Bayern Munich,26,11.8,0.77,2.5,86.3,84.5,51.8,10,31,13,284,2190,1923,1035
2021,pt vs Benfica,26.2,19,2.07,5.1,91.3,88.3,64.5,15,36,27.4,280,1921,3432,2113
2021,tr vs Beşiktaş,26.3,14.9,2.9,6.67,88.7,88.8,60.2,11,16,36.17,176,983,1981,1176
2021,eng vs Chelsea,27.7,9.9,0.99,2.13,87.7,83.8,54.3,13,47,14.03,284,2310,2249,1022
2021,be vs Club Brugge,26.7,15.3,2.85,7.33,91,88.7,61.6,22,19,31.33,168,1352,2155,1180
2021,de vs Dortmund,27.2,17.2,1.13,3.67,90.2,88.5,61.6,10,24,18.17,196,1290,1755,886
2021,ua vs Dynamo Kyiv,27.1,18.4,1.41,4.5,90.1,91.6,70.8,5,23,24.5,137,882,2307,1362
2021,it vs Inter,26.5,13.4,0.97,2.37,91.1,89.7,64.6,10,25,19.13,170,1783,2344,1183
2021,it vs Juventus,27.8,14.1,1.15,2.75,91.3,87.7,58.7,8,30,20.25,182,1418,2189,1469
2021,fr vs Lille,26.6,14.8,0.76,2.75,86.2,86.7,57.8,8,51,15.62,234,1802,2234,1147
2021,eng vs Liverpool,27.5,16.3,1.01,2.15,85.5,82.1,48.4,32,66,10.85,398,3086,2636,1179
2021,se vs Malmö,27.8,12.5,1.87,6.5,89.8,90.8,69.4,18,27,32,167,879,2351,1318
2021,eng vs Manchester City,26.9,14.3,0.8,2.59,90.3,87.3,49.8,16,48,13.38,312,2835,2644,1094
2021,eng vs Manchester Utd,27.3,15.2,1.33,4.12,87.7,86,57.4,6,40,21.75,219,1561,2113,1070
2021,it vs Milan,27,15.8,1.45,4.5,88.2,85.4,58.6,12,39,29,195,987,1699,1092
2021,fr vs Paris S-G,26.5,17.3,1.55,4.87,91,87,64.6,15,49,27.25,250,1176,1967,1736
2021,pt vs Porto,27.1,14.3,1.47,4.67,85.3,85.7,57.2,12,37,17.5,157,1267,1563,735
2021,de vs RB Leipzig,27,14.4,1.45,4.17,86.9,85.6,63,10,30,18.67,171,1358,1705,720
2021,at vs RB Salzburg,27,15.2,1.3,3.38,86.8,84.4,63.9,6,57,20.25,207,1831,2332,1145
2021,es vs Real Madrid,26.9,17.5,1.47,5.2,92.8,89.4,61.7,28,40,27.15,344,2596,3964,2615
2021,es vs Sevilla,25.1,14.3,0.77,2.83,83.7,82,48.6,3,18,15.5,172,1138,1253,636
2021,ua vs Shakhtar,27.7,9.4,1.69,5.83,91.1,90.8,60.8,11,35,24.83,174,1256,1370,844
2021,md vs Sheriff Tiraspol,27.3,19.3,1.91,7,92.1,90.8,77,9,19,41.33,139,876,2356,1731
2021,pt vs Sporting CP,27,22.2,1.49,4.37,90,89,66.4,12,34,20.75,206,1383,2891,1371
2021,es vs Villarreal,27.1,21.5,1.55,4.58,89.9,88.4,61.6,25,64,27.42,362,2214,3696,2296
2021,de vs Wolfsburg,26.2,13.9,1.72,5.33,86.8,85.9,59.6,6,38,22,153,943,1963,1027
2021,ch vs Young Boys,27.5,19.6,1.72,5.33,87.7,88,62,5,31,18.67,179,1144,1743,801
2021,ru vs Zenit,27.4,11.6,1.2,4.17,92.6,89.6,63.9,8,25,23.33,114,1096,1988,1119
2022,nl Ajax,26.4,12.4,1.26,3.67,91.6,89.5,51.8,7,19,18.33,163,1360,1802,871
2022,es Atlético Madrid,28.6,13.3,1.31,5.67,91.4,85.5,59.4,6,30,28,127,1098,2077,1153
2022,es Barcelona,26.4,18.2,1.65,5.5,90.4,90.7,72.7,15,27,27.67,145,977,2308,1402
2022,de Bayern Munich,26.6,13.4,1.86,7.2,91.5,90.8,68.7,26,33,30.2,309,2305,3211,1838
2022,pt Benfica,26,14.8,1.53,4.8,89.8,89.4,68.3,10,54,25.4,312,1981,3198,1776
2022,sct Celtic,26,19.3,1.4,4.83,88.8,89.9,62.3,8,9,23.5,154,1046,1780,1035
2022,eng Chelsea,26.9,17.8,1.46,5.1,90.9,87.8,61.5,15,36,28.3,268,1883,3368,1928
2022,be Club Brugge,26.3,9.6,0.8,2.5,84.5,87.3,58.5,5,39,14.63,185,1704,2088,900
2022,hr Dinamo Zagreb,26.9,10.8,0.7,3.33,87.8,84.6,57.5,4,33,16.67,171,1444,1430,643
2022,de Dortmund,26,17.1,1.31,3.38,89,88.4,59.6,8,54,21.12,200,1815,2230,1047
2022,de Eint Frankfurt,26.1,13,0.91,3.25,86.2,81.5,43.9,6,20,16.12,239,1570,2170,891
2022,dk FC Copenhagen,24.6,13.1,0.8,2.67,86.1,88.2,50.4,5,23,15,171,1238,1273,620
2022,it Inter,28.5,10.1,1.34,4.77,88.2,86,59.8,10,62,21.62,353,2866,2971,1661
2022,it Juventus,28.3,14.8,1.43,4.17,88.6,87.7,66.4,7,37,23.33,147,1025,1767,960
2022,de Leverkusen,24.8,10,1.24,4.5,88.9,88.6,55.8,11,20,23.83,146,1232,1865,835
2022,eng Liverpool,27.5,17.4,1.74,6.87,89.3,86.2,59.8,19,40,27.75,201,1444,2578,1500
2022,il Maccabi Haifa,28.1,17.2,0.94,3.5,88.2,85.7,60.1,8,18,23.33,177,1085,1578,743
2022,eng Manchester City,27.1,17.4,1.74,6.54,93.7,92,71.1,22,70,28.08,269,2217,4861,2903
2022,fr Marseille,27,17,1.31,3.83,90.2,87.9,68.1,5,29,23.17,175,918,2187,1209
2022,it Milan,26.3,16.9,1.18,3.5,86,87.6,62.9,14,32,20.17,317,2282,3104,1426
2022,it Napoli,26.4,13.6,1.91,6.3,91.7,87.2,60.4,33,47,31.5,261,2106,3408,1519
2022,fr Paris S-G,27.5,13.3,1.25,5.12,92.5,90.6,69.4,21,19,22.37,179,1832,2760,1411
2022,pt Porto,26.8,13.6,1.61,4.75,86.5,84.8,53.1,11,18,24.12,213,1703,1929,1025
2022,sct Rangers,28.3,18.9,0.68,1.67,85.7,85.2,45.8,3,15,11.67,147,1224,1291,561
2022,de RB Leipzig,26.1,15.2,1.46,4.25,90.7,89.8,62.4,21,28,19.5,204,1698,2323,1190
2022,at RB Salzburg,22.5,16.2,1.25,4.5,79.4,72.6,44.8,4,9,22.33,205,873,1411,779
2022,es Real Madrid,27.8,13,1.71,6.17,93.2,90.7,64.5,22,74,27.92,284,2587,3955,2376
2022,es Sevilla,28.8,10.6,0.9,4,89.6,88.5,60.1,7,33,19.83,131,1427,1531,806
2022,ua Shakhtar,24.3,8.7,0.62,2.5,92.2,89.8,55.9,16,12,13.33,171,1828,1401,396
2022,pt Sporting CP,25.3,8.8,0.63,3.5,87.9,87.9,51.5,4,22,12.5,177,1549,1484,469
2022,eng Tottenham,27.8,17.9,1.05,3.62,87.8,86.6,59.7,13,26,22.12,224,1547,2430,1175
2022,cz Viktoria Plzeň,28.1,15.8,0.79,3.17,83.9,83.6,53,0,13,18.67,162,1000,919,585
2022,nl vs Ajax,27.1,13.1,1.78,5.83,89.1,85.2,61,13,21,26,144,1208,1561,796
2022,es vs Atlético Madrid,25.8,7.3,1.51,4.33,86.7,87.4,55.8,4,22,21.5,145,1427,1505,650
2022,es vs Barcelona,27.7,11.7,1.42,4.83,86.2,84.8,59.3,5,15,20,204,1298,1024,630
2022,de vs Bayern Munich,27.5,13.7,1.02,3.6,89.1,87.8,63.1,13,43,17.9,297,2168,2528,1308
2022,pt vs Benfica,27.8,13.9,0.89,2.8,87.1,87,61.2,7,56,17.4,271,2186,2793,1280
2022,sct vs Celtic,26.1,13.4,1.65,4.83,92.8,91.2,68.7,21,37,23.5,152,1754,1976,1014
2022,eng vs Chelsea,25.8,19.2,1.07,3.7,86.6,83.5,54.7,7,31,17,277,1942,2413,1278
2022,be vs Club Brugge,26.5,13.9,1.82,5.37,89.4,87.1,60.2,15,28,29,212,1492,2650,1321
2022,hr vs Dinamo Zagreb,25.2,24.8,1.69,5.33,89,84.3,55.1,17,10,32.67,158,814,1938,1231
2022,de vs Dortmund,26.7,15.7,1.23,4.25,89.5,88.9,62.3,9,36,25.12,251,1564,2540,1442
2022,de vs Eint Frankfurt,26.9,19.8,1.24,4.75,89.1,88.2,63.6,16,41,19,244,1882,2883,1065
2022,dk vs FC Copenhagen,27.4,15.7,1.61,6,92.6,91.2,67.3,6,42,28.67,121,1181,2286,1257
2022,it vs Inter,27,16.8,1.16,4.38,89.2,89.2,64.6,16,69,24.46,291,2458,3811,2410
2022,it vs Juventus,27.1,13.4,1.51,5,92.2,88.5,58.7,10,9,28,171,1206,1762,1097
2022,de vs Leverkusen,27.2,9.2,0.83,3.5,88.9,86.1,54.3,6,11,18.83,147,1166,1726,879
2022,eng vs Liverpool,27.5,13,1.14,3.25,89.5,86.2,50.2,8,36,16.62,232,2005,1977,836
2022,il vs Maccabi Haifa,27.6,15.1,1.64,7,90.9,88.4,69.6,11,32,29.83,158,1176,1893,1133
2022,eng vs Manchester City,26.8,11.4,0.75,2.77,90.7,88.7,57.1,15,56,15.38,283,3089,2791,1164
2022,fr vs Marseille,26.1,6.5,0.85,3.33,84.7,83.6,47.6,5,15,17.5,170,1253,1442,492
2022,it vs Milan,26.5,14.1,1.08,4.17,89.9,85.2,56,5,43,23.42,332,2130,3448,1771
2022,it vs Napoli,27.1,13.8,1.14,2.8,87.7,87.4,50.2,11,26,17.3,273,1960,2420,1285
2022,fr vs Paris S-G,27.1,11.9,1.16,4.25,90.1,90.5,68.1,12,27,21.87,250,1343,2365,1162
2022,pt vs Porto,27.2,13.6,1.03,4.25,87,85.7,58.7,12,44,21.62,174,1645,2185,1125
2022,sct vs Rangers,26.7,15.7,2,8,91.2,88,62,20,23,33.5,152,1219,2293,1112
2022,de vs RB Leipzig,26.2,17,1.37,4.62,90.3,91.3,66.4,7,27,21.12,163,1800,2450,1046
2022,at vs RB Salzburg,26.9,13.9,1.15,5,84.5,85.4,66.2,6,41,25.33,162,1417,1814,898
2022,es vs Real Madrid,26.2,12.3,1.26,4.75,92.3,89.4,60.4,29,44,20.42,310,2574,3306,1846
2022,es vs Sevilla,25.3,16.8,1.7,5,90.5,88.8,56.8,11,34,25.83,141,1028,1784,960
2022,ua vs Shakhtar,26.6,20.6,1.81,6.33,92.1,90.5,69.5,13,18,31.67,168,746,2229,1649
2022,pt vs Sporting CP,27,16.8,1.37,4.5,89.1,85.8,63.6,12,23,24,198,908,2008,1054
2022,eng vs Tottenham,26.3,11.4,1.09,3.75,90.1,87.9,53.9,6,27,18.87,197,1763,2311,1093
2022,cz vs Viktoria Plzeň,26.9,16.2,2.51,9.17,92.4,92.5,71.7,18,14,33.17,139,1062,2576,1349