,Year,Posession,GoalsAgainstPer90,GoalieSave%,TotalWins,GoalieLaunchedComp%,GoaliePassesLaunch%,StandardSh/90,StandardSoT/90,TotalPassCmp%,ChallengesTkl%,Take-OnsSucc%,TeamSuccess(xG)xG+/-90
Year,1.0,9.652599991771196e-05,0.005533594833745542,0.033944197517736564,0.006015116939145643,-0.06797536908161352,-0.15532870636325227,-0.037111330544618175,0.019512212326361123,0.0875745017794293,0.27142780372614794,-0.42020597147619093,1.5746653795605413e-16
Posession,9.652599991771196e-05,1.0,-0.5491235565940537,0.15834302880804985,0.5224665671817544,0.17979674841555696,-0.6354830358634296,0.7047741474485649,0.6303748751507029,0.717927827780745,0.22330254773138308,0.18105010364968613,0.7248695075841869
GoalsAgainstPer90,0.005533594833745542,-0.5491235565940537,1.0,-0.6566672617802969,-0.6081147189988253,-0.0036824606400406843,0.32524051663615344,-0.40967701064197193,-0.4274028560139363,-0.41509461031312206,-0.1750613725845868,-0.12478268394363261,-0.7266601487637052
GoalieSave%,0.033944197517736564,0.15834302880804985,-0.6566672617802969,1.0,0.30389888780070823,-0.015922175741785907,-0.029014981982859324,0.05737143775230849,0.1410853333240205,0.11892868627830436,0.025404074541318697,0.11435964604270527,0.2411173879651637
TotalWins,0.006015116939145643,0.5224665671817544,-0.6081147189988253,0.30389888780070823,1.0,0.03020082836657177,-0.39610264634483167,0.46494850566296597,0.5405332270533827,0.4617128316559388,0.14313013561721838,0.14661722474318048,0.637390095810272
GoalieLaunchedComp%,-0.06797536908161352,0.17979674841555696,-0.0036824606400406843,-0.015922175741785907,0.03020082836657177,1.0,-0.2397206753982764,0.23876376747682854,0.1500482765507323,0.16401846229267944,-0.0685843866269187,0.15339054810928185,0.09321829781154813
GoaliePassesLaunch%,-0.15532870636325227,-0.6354830358634296,0.32524051663615344,-0.029014981982859324,-0.39610264634483167,-0.2397206753982764,1.0,-0.48598561485094627,-0.47527454165270616,-0.7571832029232937,-0.1494713684034502,-0.0791951122430065,-0.5166882791614966
StandardSh/90,-0.037111330544618175,0.7047741474485649,-0.40967701064197193,0.05737143775230849,0.46494850566296597,0.23876376747682854,-0.48598561485094627,1.0,0.8534676200692782,0.5142596713129775,0.13914257309370065,0.12764753430679013,0.769569438848728
StandardSoT/90,0.019512212326361123,0.6303748751507029,-0.4274028560139363,0.1410853333240205,0.5405332270533827,0.1500482765507323,-0.47527454165270616,0.8534676200692782,1.0,0.48114778328849395,0.13499505023166475,0.11170394942388184,0.756712231898084
TotalPassCmp%,0.0875745017794293,0.717927827780745,-0.41509461031312206,0.11892868627830436,0.4617128316559388,0.16401846229267944,-0.7571832029232937,0.5142596713129775,0.48114778328849395,1.0,0.08238128203665626,0.15980425607452042,0.5383568679477267
ChallengesTkl%,0.27142780372614794,0.22330254773138308,-0.1750613725845868,0.025404074541318697,0.14313013561721838,-0.0685843866269187,-0.1494713684034502,0.13914257309370065,0.13499505023166475,0.08238128203665626,1.0,-0.31460670416986874,0.1798660254239269
Take-OnsSucc%,-0.42020597147619093,0.18105010364968613,-0.12478268394363261,0.11435964604270527,0.14661722474318048,0.15339054810928185,-0.0791951122430065,0.12764753430679013,0.11170394942388184,0.15980425607452042,-0.31460670416986874,1.0,0.14593683575744318
TeamSuccess(xG)xG+/-90,1.5746653795605413e-16,0.7248695075841869,-0.7266601487637052,0.2411173879651637,0.637390095810272,0.09321829781154813,-0.5166882791614966,0.769569438848728,0.756712231898084,0.5383568679477267,0.1798660254239269,0.14593683575744318,1.0